,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Araxá,234.23333333333332,198.31666666666666,89.86666666666666,71.0,225.25,151.51666666666668,155.16666666666666,104.56666666666666,171.93333333333334,89.5,196.55,112.95,66.73333333333333,131.96666666666667,159.36666666666667,65.98333333333333,144.88333333333333,139.68333333333334,94.85,134.95,0.0,54.166666666666664,77.0,123.98333333333333,177.2,163.36666666666667,89.86666666666666,52.05,124.18333333333334,143.9,112.81666666666666,142.21666666666667,236.31666666666666,161.03333333333333,489.1666666666667
Tapira,279.5,243.6,135.15,116.28333333333333,270.53333333333336,196.78333333333333,204.36666666666667,153.76666666666668,217.2,134.78333333333333,245.75,158.21666666666667,115.93333333333334,181.16666666666666,204.63333333333333,115.18333333333334,190.16666666666666,188.88333333333333,140.13333333333333,180.23333333333332,53.2,0.0,122.28333333333333,169.26666666666668,222.48333333333332,212.56666666666666,135.15,101.25,169.45,189.16666666666666,158.1,187.5,281.6,206.31666666666666,534.45
Pratinha,249.58333333333334,213.66666666666666,53.85,42.68333333333333,240.6,166.86666666666667,175.75,166.16666666666666,187.28333333333333,104.85,217.11666666666667,128.3,128.35,162.68333333333334,174.71666666666667,127.58333333333333,142.58333333333334,171.53333333333333,110.2,150.3,73.56666666666666,122.13333333333334,0.0,95.66666666666667,192.55,183.93333333333334,53.85,113.66666666666667,88.16666666666667,115.56666666666666,104.15,142.43333333333334,200.3,132.71666666666667,504.51666666666665
São Gotardo,220.63333333333333,158.28333333333333,57.833333333333336,53.28333333333333,185.21666666666667,174.53333333333333,183.41666666666666,190.9,194.95,93.13333333333334,224.78333333333333,116.58333333333333,175.38333333333333,170.36666666666667,119.31666666666666,174.61666666666667,75.93333333333334,179.2,117.86666666666666,99.06666666666666,120.6,169.18333333333334,97.16666666666667,0.0,137.16666666666666,191.61666666666667,57.833333333333336,160.7,68.16666666666667,24.366666666666667,37.5,75.78333333333333,182.81666666666666,41.5,449.1166666666667
Varjão de Minas,178.4,116.05,166.33333333333334,161.8,142.96666666666667,144.55,171.16666666666666,178.65,164.96666666666667,105.13333333333334,204.1,91.71666666666667,185.33333333333334,158.1,77.08333333333333,184.58333333333334,69.7,166.95,113.1,63.63333333333333,173.91666666666666,222.5,193.53333333333333,138.21666666666667,0.0,179.36666666666667,166.33333333333334,154.83333333333334,176.66666666666666,144.18333333333334,126.4,124.1,291.3333333333333,141.86666666666667,311.96666666666664
Estrela do Sul,155.36666666666667,151.9,199.3,159.66666666666666,157.0,81.48333333333333,33.11666666666667,59.85,61.083333333333336,121.2,68.05,100.63333333333334,113.13333333333334,46.083333333333336,163.4,98.53333333333333,148.93333333333334,32.86666666666667,81.03333333333333,139.0,162.91666666666666,213.28333333333333,186.43333333333334,191.21666666666667,181.25,0.0,199.3,117.36666666666666,229.66666666666666,199.48333333333332,162.8,192.2,344.31666666666666,216.61666666666667,493.21666666666664
Campos Altos,250.8,188.45,0.0,54.5,215.38333333333333,178.68333333333334,187.56666666666666,177.98333333333332,199.1,116.66666666666667,228.93333333333334,140.11666666666667,140.16666666666666,174.5,149.48333333333332,139.4,106.1,183.35,122.01666666666667,129.23333333333332,85.38333333333334,133.95,59.416666666666664,59.18333333333333,167.33333333333334,195.76666666666668,0.0,125.48333333333333,44.1,79.1,67.66666666666667,105.95,156.23333333333332,96.23333333333333,479.28333333333336
Perdizes,194.23333333333332,177.41666666666666,131.31666666666666,112.45,195.86666666666667,111.51666666666667,109.55,69.35,131.93333333333334,96.25,150.91666666666666,75.68333333333334,31.516666666666666,96.75,138.45,30.766666666666666,123.98333333333333,104.46666666666667,50.333333333333336,114.05,52.28333333333333,102.63333333333334,118.46666666666667,165.43333333333334,156.3,117.75,131.31666666666666,0.0,165.63333333333333,173.38333333333333,136.7,166.1,277.76666666666665,190.51666666666668,468.26666666666665
Santa Rosa da Serra,259.78333333333336,197.41666666666666,43.85,81.46666666666667,224.35,212.95,221.83333333333334,212.25,233.36666666666667,132.26666666666668,263.2,155.71666666666667,174.41666666666666,208.76666666666668,158.45,173.66666666666666,115.06666666666666,217.61666666666667,156.28333333333333,138.21666666666667,119.65,168.21666666666667,93.68333333333334,68.16666666666667,176.3,230.01666666666668,43.85,159.75,0.0,70.13333333333334,76.65,114.93333333333334,168.83333333333334,87.26666666666667,488.26666666666665
Matutina,226.41666666666666,164.06666666666666,78.2,73.66666666666667,191.0,186.56666666666666,192.4,199.88333333333333,206.98333333333332,102.11666666666666,233.76666666666668,125.56666666666666,195.75,179.35,125.1,195.0,81.71666666666667,188.2,126.86666666666666,104.85,140.96666666666667,189.55,117.55,24.833333333333332,142.95,200.6,78.2,173.61666666666667,70.4,0.0,46.5,81.56666666666666,203.18333333333334,25.1,454.9
Rio Paranaíba,210.25,147.9,66.68333333333334,62.13333333333333,174.81666666666666,146.28333333333333,155.16666666666666,162.65,166.7,64.88333333333334,196.53333333333333,88.33333333333333,166.55,142.11666666666667,108.93333333333334,165.8,65.55,150.95,89.61666666666666,88.68333333333334,111.76666666666667,160.35,106.01666666666667,38.55,126.76666666666667,163.36666666666667,66.68333333333334,136.36666666666667,77.01666666666667,46.81666666666667,0.0,39.4,191.66666666666666,63.96666666666667,438.73333333333335
São João da Serra Negra,206.46666666666667,144.1,103.98333333333333,99.43333333333334,171.03333333333333,166.61666666666667,184.76666666666668,192.23333333333332,187.03333333333333,94.48333333333333,226.16666666666666,113.76666666666667,196.15,171.7,105.13333333333334,195.4,61.75,180.55,119.21666666666667,84.88333333333334,141.36666666666667,189.95,143.31666666666666,75.86666666666666,122.98333333333333,192.95,103.98333333333333,165.96666666666667,114.31666666666666,81.81666666666666,40.15,0.0,228.96666666666667,79.5,434.95
Pedra do Indaiá,375.05,312.68333333333334,156.21666666666667,196.73333333333332,339.6166666666667,325.31666666666666,334.2,324.6333333333333,345.73333333333335,247.53333333333333,375.56666666666666,270.98333333333335,286.8,321.15,273.71666666666664,286.05,230.33333333333334,330.0,268.6666666666667,253.48333333333332,232.01666666666668,280.6,206.06666666666666,183.43333333333334,291.56666666666666,342.4,156.21666666666667,272.1166666666667,168.33333333333334,203.33333333333334,191.91666666666666,230.2,0.0,220.46666666666667,527.0
Tiros,225.45,163.08333333333334,94.3,89.76666666666667,190.01666666666668,185.6,212.2,219.68333333333334,206.01666666666668,118.21666666666667,245.15,132.75,211.85,199.15,124.11666666666666,211.1,80.73333333333333,208.0,142.96666666666667,103.86666666666666,157.06666666666666,205.65,133.65,40.93333333333333,141.96666666666667,,94.3,,,,,,,,
São Romão,359.93333333333334,365.8666666666667,475.1,470.56666666666666,387.51666666666665,438.43333333333334,479.93333333333334,487.4,448.7,413.9,487.8333333333333,400.46666666666664,494.1,466.8666666666667,358.73333333333335,493.35,378.46666666666664,475.71666666666664,421.85,372.4,482.68333333333334,531.2666666666667,502.3,446.98333333333335,308.76666666666665,488.1166666666667,475.1,463.6,485.43333333333334,452.93333333333334,435.1666666666667,432.85,525.5333333333333,450.6333333333333,0.0
