,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos.1,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Araxá,817.9841666666666,694.5058333333334,288.42333333333335,216.2075,779.1975,521.0233333333333,539.8758333333334,358.6483333333333,595.6341666666666,299.94,681.2875,370.84000000000003,229.04416666666668,450.9558333333334,542.3633333333333,231.61166666666665,508.19916666666666,483.9241666666667,314.635,461.11749999999995,0.0,165.24833333333333,244.92499999999998,398.3691666666666,633.485,573.2208333333333,288.42333333333335,165.69,392.15166666666664,462.9475,400.26083333333327,425.35083333333336,775.5783333333334,527.5266666666666,1634.1208333333334
Tapira,971.75,848.2774999999999,442.195,369.97916666666663,932.9691666666668,674.7891666666667,703.5508333333332,522.3233333333333,749.3975,453.71166666666664,844.9625,524.6058333333334,392.71916666666675,614.6308333333334,696.1266666666666,395.28666666666663,661.9733333333334,647.5991666666666,468.4066666666667,614.8891666666667,165.09,0.0,398.6966666666666,552.1408333333333,787.2566666666667,736.8958333333333,442.195,329.365,545.915,616.7108333333333,554.035,579.1225,929.3525,681.3008333333333,1787.8925
Pratinha,884.9091666666667,761.4308333333333,124.96749999999999,128.22666666666666,846.1225,587.9483333333334,621.235,584.4983333333333,662.5591666666667,366.865,762.6383333333333,437.76750000000004,454.90500000000003,567.7316666666667,609.2883333333333,457.46416666666664,507.14916666666664,609.9091666666667,381.56000000000006,528.0425,242.69083333333333,400.8941666666667,0.0,310.3883333333333,700.41,654.5716666666667,124.96749999999999,391.5483333333333,228.69583333333335,374.95833333333337,352.3275,454.74416666666673,612.1225,439.5483333333334,1701.0458333333331
São Gotardo,766.7566666666667,563.6616666666666,193.82416666666663,184.93666666666667,648.3533333333334,605.9891666666666,639.2733333333333,670.21,680.5975,329.9941666666667,780.6766666666667,400.89666666666665,609.1241666666667,585.7783333333334,411.5108333333334,611.6833333333334,269.22916666666663,627.9475,399.60083333333336,341.36833333333334,396.91,555.1216666666667,314.9708333333334,0.0,502.6408333333333,672.6183333333333,193.82416666666663,545.77,212.72083333333333,70.77583333333334,114.4075,216.82166666666666,606.3058333333333,135.35750000000002,1503.2683333333334
Varjão de Minas,608.3025,405.2075,623.0991666666666,614.2175,489.8908333333334,520.46,611.9308333333333,642.865,595.0683333333334,352.6191666666667,712.5899999999999,318.36583333333334,673.0091666666666,558.4275,253.05666666666664,675.5791666666667,248.2375,600.605,388.88,210.54416666666665,630.9883333333333,789.2,703.7616666666667,503.12083333333334,0.0,645.2758333333334,623.0991666666666,566.1791666666667,641.9958333333334,493.7991666666667,462.50999999999993,394.6175,1035.5891666666666,480.8308333333334,1000.6358333333333
Estrela do Sul,545.4333333333334,453.57749999999993,701.4425,555.6083333333333,557.475,263.97666666666663,102.37833333333334,216.97750000000002,201.25166666666667,416.12250000000006,162.1575,343.75416666666666,392.7441666666667,157.46416666666664,556.0200000000001,343.57916666666665,521.8666666666667,102.05333333333333,281.01166666666666,474.7825,572.2283333333334,736.3216666666667,657.9441666666667,670.9258333333333,647.1500000000001,0.0,701.4425,437.4583333333333,809.7983333333332,672.9891666666667,565.9225,591.0125,1203.3858333333333,737.5708333333334,1647.7858333333334
Campos Altos,887.3575,684.2600000000001,0.0,171.14,768.9516666666666,630.8641666666667,664.1483333333333,627.4141666666667,705.4725,409.7783333333333,805.5516666666667,480.68083333333334,497.8183333333333,610.645,532.1091666666666,500.37749999999994,389.82750000000004,652.8225,424.4758333333333,461.9666666666667,285.6041666666667,443.8075,196.1483333333333,193.06666666666666,623.2391666666666,697.4933333333333,0.0,434.46416666666664,120.36749999999999,257.645,235.00583333333333,337.42,503.7966666666666,322.2241666666667,1623.8666666666668
Perdizes,700.5216666666666,627.1108333333333,438.5383333333333,366.32250000000005,712.5633333333333,403.56083333333333,404.1125,237.2025,478.17166666666674,335.0625,545.5158333333334,262.69416666666666,107.59833333333333,329.51,474.96000000000004,110.16583333333332,440.80666666666673,362.47833333333335,180.19666666666666,393.72249999999997,166.73416666666668,330.81916666666666,395.04833333333335,548.4841666666666,566.0899999999999,437.455,438.5383333333333,0.0,542.2666666666667,578.2641666666666,471.19999999999993,496.28749999999997,925.6958333333333,642.8458333333333,1566.7258333333334
Santa Rosa da Serra,904.4691666666668,701.3658333333333,119.99749999999999,282.44083333333333,786.0574999999999,734.0625,767.3466666666667,730.61,808.6708333333333,467.6983333333333,908.7500000000001,538.6008333333333,601.0083333333334,713.8433333333334,549.215,603.5758333333334,406.93083333333334,756.0208333333333,527.6741666666667,479.0783333333334,388.8025,547.0058333333333,299.3466666666667,210.17833333333334,640.3449999999999,800.6833333333333,119.99749999999999,537.6625,0.0,156.12166666666667,252.1175,354.5341666666667,532.4791666666666,220.70083333333332,1640.9808333333335
Matutina,755.9433333333334,552.8458333333333,257.5575,248.67833333333334,637.54,641.3858333333334,640.9975000000001,671.9316666666666,715.9966666666667,331.71583333333336,782.4008333333333,402.61833333333334,672.8575,587.5024999999999,400.6975,675.425,258.41333333333336,629.6800000000001,401.3308333333333,330.5525,460.6433333333333,618.855,378.7125,71.31416666666667,491.82499999999993,674.34,257.5575,579.4833333333333,156.5275,0.0,116.1375,206.00833333333335,670.0416666666667,82.18499999999999,1492.4550000000002
Rio Paranaíba,726.57,523.4725,234.0666666666667,225.17916666666665,608.1583333333333,499.18666666666667,532.4708333333334,563.4075,573.7975,223.19166666666666,673.8741666666666,294.0941666666667,611.2225,478.97833333333335,371.32416666666666,613.79,229.04,521.1475,292.79833333333335,301.1791666666667,399.0083333333333,557.22,355.21333333333337,114.08250000000001,462.4433333333333,565.8158333333333,234.0666666666667,470.9508333333333,252.9633333333333,116.14583333333333,0.0,73.49,646.5508333333332,180.73583333333335,1463.0816666666665
São João da Serra Negra,665.8233333333334,462.71750000000003,335.8541666666667,326.9666666666667,547.4091666666667,551.2658333333334,557.6833333333334,588.6116666666667,625.8766666666667,248.4041666666667,743.3958333333333,349.16333333333336,636.4350000000001,504.1825,310.56666666666666,639.0025,168.285,546.36,318.0108333333334,240.42416666666665,424.2208333333333,582.4325,457.0008333333333,215.87583333333336,401.69666666666666,591.02,335.8541666666667,496.1633333333333,354.7508333333334,206.54833333333332,73.19,0.0,748.3358333333333,193.57999999999998,1402.3325
Pedra do Indaiá,1298.5275000000001,1095.4216666666666,504.15083333333337,676.4966666666667,1180.1133333333335,1118.2158333333334,1151.5,1114.7741666666666,1192.8241666666665,861.7541666666666,1292.9033333333332,932.6566666666666,985.1700000000001,1098.0049999999999,943.2708333333334,987.7375,800.9891666666666,1140.1825,911.8358333333333,873.1366666666667,772.9558333333333,931.1675,683.5083333333333,604.2366666666667,1034.4008333333334,1184.845,504.15083333333337,921.8158333333333,531.5291666666666,668.8066666666666,646.1758333333332,748.59,0.0,733.3858333333334,1723.635
Tiros,743.72,540.6141666666666,321.11999999999995,312.24083333333334,625.3058333333333,629.1624999999999,720.625,751.5616666666667,703.7733333333333,395.2783333333333,821.2925000000001,427.06,736.42,667.13,388.46333333333337,738.9875,246.18166666666667,709.3075,464.8933333333334,318.3208333333334,524.2058333333333,682.4175,442.27500000000003,134.87666666666667,479.5933333333333,inf,321.11999999999995,inf,inf,inf,inf,inf,inf,inf,inf
São Romão,1161.5741666666665,1135.3508333333334,1621.8600000000001,1612.980833333333,1268.4633333333331,1449.8916666666667,1610.6916666666666,1641.6200000000001,1500.1699999999998,1351.38,1617.6891666666668,1317.1183333333333,1671.7725,1557.1908333333336,1096.0566666666666,1674.34,1246.9983333333332,1599.3683333333336,1387.6325,1209.3075,1629.7516666666668,1787.9633333333331,1702.525,1501.8841666666667,998.7608333333333,1644.0283333333336,1621.8600000000001,1564.9399999999998,1640.7566666666667,1492.5541666666668,1461.2708333333333,1393.3700000000001,1722.8791666666666,1479.5941666666668,0.0
